NAME,,,DETAILED_INFO,,,,,MUSCLE_GROUPS,,,,,,,,,,,,,,,,,,EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,CATEGORY_GARMIN,NAME_GARMIN,FOUND,IMAGE,URL,DIFFICULTY,DESCRIPTION,,ABDUCTORS,ABS,ADDUCTORS,BICEPS,CALVES,CHEST,FOREARM,GLUTES,HAMSTRINGS,HIPS,LATS,LOWER_BACK,OBLIQUES,QUADS,SHOULDERS,TRAPS,TRICEPS,ANKLE_WEIGHT,BAND,BARBELL,BATTLE_ROPE,BENCH,BIKE,BOSU_BALL,BOX,CABLE_MACHINE,DUMBBELL,EZ_BAR,FOAM_ROLLER,JUMP_ROPE,KETTLEBELL,MACHINE,MEDICINE_BALL,OTHER,PLATE,PULLUP_BAR,RINGS,ROPE,SANDBAG,SLED,SLIDING_DISC,SMITH_MACHINE,SQUAT_RACK,SWISS_BALL,TRX,WEIGHT_VEST
Banded Jumping Jack,BANDED_EXERCISES,JUMPING_JACK,FALSE,,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded Kneeling Crunch,BANDED_EXERCISES,KNEELING_CRUNCH,FALSE,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded Lateral Band Walks,BANDED_EXERCISES,LATERAL_BAND_WALKS,FALSE,,,,,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded Lateral Raise,BANDED_EXERCISES,LATERAL_RAISE,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded Latpull,BANDED_EXERCISES,LATPULL,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded Leg Abduction,BANDED_EXERCISES,LEG_ABDUCTION,FALSE,,,,,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded Leg Adduction,BANDED_EXERCISES,LEG_ADDUCTION,FALSE,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded Leg Extension,BANDED_EXERCISES,LEG_EXTENSION,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded Lunge,BANDED_EXERCISES,LUNGE,FALSE,,,,,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded Plank,BANDED_EXERCISES,PLANK,FALSE,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
